"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.7048229044900315, 'buysPercent': 0.2951770955099685, 'sellsPercentDeals': 0.2302044056360389, 'buysPercentDeals': 0.769795594363961, 'pairSell': 23129.8, 'pairBuy': 23129.7}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.7069798812693828, 'buysPercent': 0.2930201187306171, 'sellsPercentDeals': 0.2302044056360389, 'buysPercentDeals': 0.769795594363961, 'pairSell': 23129.8, 'pairBuy': 23129.7}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6929933731647616, 'buysPercent': 0.30700662683523844, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23132.9, 'pairBuy': 23129.7}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6950366570418668, 'buysPercent': 0.30496334295813327, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23129.8, 'pairBuy': 23129.7}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6757892849614897, 'buysPercent': 0.3242107150385103, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23129.8, 'pairBuy': 23129.7}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6786367158980623, 'buysPercent': 0.32136328410193776, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23129.8, 'pairBuy': 23128.3}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6760404304153966, 'buysPercent': 0.3239595695846034, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23128.4, 'pairBuy': 23128.3}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6758821586427844, 'buysPercent': 0.3241178413572156, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23128.4, 'pairBuy': 23128.3}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.650940107850977, 'buysPercent': 0.349059892149023, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23136.7, 'pairBuy': 23136.6}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6531565843089461, 'buysPercent': 0.3468434156910539, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23136.7, 'pairBuy': 23136.6}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6536192538205202, 'buysPercent': 0.3463807461794798, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 23135.4, 'pairBuy': 23135.3}"
