"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6771425331892473, 'buysPercent': 0.3228574668107527, 'sellsPercentDeals': 0.2302044056360389, 'buysPercentDeals': 0.769795594363961, 'pairSell': 579.59, 'pairBuy': 579.58}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6929323805449323, 'buysPercent': 0.30706761945506766, 'sellsPercentDeals': 0.2302044056360389, 'buysPercentDeals': 0.769795594363961, 'pairSell': 579.85, 'pairBuy': 579.84}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.624020062052601, 'buysPercent': 0.37597993794739903, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.61, 'pairBuy': 579.6}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6950366570418668, 'buysPercent': 0.30496334295813327, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.77, 'pairBuy': 579.58}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6760404304153966, 'buysPercent': 0.3239595695846034, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.79, 'pairBuy': 579.76}"
"{'tonce': '24.12.2020 13:32', 'sellsPercent': 0.6786367158980623, 'buysPercent': 0.32136328410193776, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.79, 'pairBuy': 579.69}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6760404304153966, 'buysPercent': 0.3239595695846034, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.79, 'pairBuy': 579.69}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.655886308329831, 'buysPercent': 0.34411369167016903, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.91, 'pairBuy': 579.9}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6531565843089461, 'buysPercent': 0.3468434156910539, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.99, 'pairBuy': 579.8}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.645164607799521, 'buysPercent': 0.354835392200479, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.99, 'pairBuy': 579.81}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6760705261185108, 'buysPercent': 0.32392947388148924, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 580.06, 'pairBuy': 579.98}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6760705261185108, 'buysPercent': 0.32392947388148924, 'sellsPercentDeals': 0.15889674313716987, 'buysPercentDeals': 0.8411032568628302, 'pairSell': 579.99, 'pairBuy': 579.98}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6696919499403208, 'buysPercent': 0.33030805005967917, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.99, 'pairBuy': 579.98}"
"{'tonce': '24.12.2020 13:33', 'sellsPercent': 0.6696919499403208, 'buysPercent': 0.33030805005967917, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.78, 'pairBuy': 579.66}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6696919499403208, 'buysPercent': 0.33030805005967917, 'sellsPercentDeals': 0.000661529456102509, 'buysPercentDeals': 0.9993384705438975, 'pairSell': 579.98, 'pairBuy': 579.91}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6695650956456856, 'buysPercent': 0.3304349043543144, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.92, 'pairBuy': 579.91}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6174872694832989, 'buysPercent': 0.38251273051670104, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.4, 'pairBuy': 579.39}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6972683518054579, 'buysPercent': 0.30273164819454207, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.4, 'pairBuy': 579.39}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6809712485396388, 'buysPercent': 0.3190287514603613, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.68, 'pairBuy': 579.53}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6572872459152445, 'buysPercent': 0.3427127540847556, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.57, 'pairBuy': 579.5}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.6562875383477247, 'buysPercent': 0.34371246165227526, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 579.51, 'pairBuy': 579.42}"
"{'tonce': '24.12.2020 13:34', 'sellsPercent': 0.7760800037626696, 'buysPercent': 0.2239199962373304, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 578.82, 'pairBuy': 578.81}"
"{'tonce': '24.12.2020 13:35', 'sellsPercent': 0.7760800037626696, 'buysPercent': 0.2239199962373304, 'sellsPercentDeals': 0.0006735491630750727, 'buysPercentDeals': 0.999326450836925, 'pairSell': 578.87, 'pairBuy': 578.75}"
"{'tonce': '24.12.2020 13:35', 'sellsPercent': 0.7364624362593588, 'buysPercent': 0.26353756374064113, 'sellsPercentDeals': 0.0018853330755100068, 'buysPercentDeals': 0.99811466692449, 'pairSell': 578.54, 'pairBuy': 578.38}"
"{'tonce': '24.12.2020 13:35', 'sellsPercent': 0.6870876322581014, 'buysPercent': 0.31291236774189857, 'sellsPercentDeals': 0.0430047911822387, 'buysPercentDeals': 0.9569952088177613, 'pairSell': 578.37, 'pairBuy': 578.28}"
"{'tonce': '24.12.2020 13:35', 'sellsPercent': 0.6474384326495061, 'buysPercent': 0.352561567350494, 'sellsPercentDeals': 0.0430047911822387, 'buysPercentDeals': 0.9569952088177613, 'pairSell': 578.8, 'pairBuy': 578.79}"
